municipio;_gama_camara;_mamografo_com_comando_simples;_mamografo_com_estereotaxia;_raio_x_ate_100_ma;_raio_x_de_100_a_500_ma;_raio_x_mais_de_500ma;_raio_x_dentario;_raio_x_com_fluoroscopia;_raio_x_para_densitometria_ossea;_raio_x_para_hemodinamica;_tomógrafo_computadorizado;_ressonancia_magnetica;_ultrassom_doppler_colorido;_ultrassom_ecografo;_ultrassom_convencional;_processadora_de_filme_exclusiva_para_mamografia;_mamografo_computadorizado;_pet_ct;_endoscopio_das_vias_respiratorias;_endoscopio_das_vias_urinarias;_endoscopio_digestivo;_equipamentos_para_optometria;_laparoscopio_video;_microscopio_cirurgico;_cadeira_oftalmologica;_coluna_oftalmologica;_refrator;_lensometro;_projetor_ou_tabela_de_optotipos;_retinoscopio;_oftalmoscopio;_ceratometro;_tonometro_de_aplanacao;_biomicroscopio_lampada_de_fenda;_campimetro;_eletrocardiografo;_eletroencefalografo;_bomba_balao_intra_aortico;_bomba_de_infusao;_berço_aquecido;_bilirrubinometro;_debitometro;_desfibrilador;_equipamento_de_fototerapia;_incubadora;_marcapasso_temporario;_monitor_de_ecg;_monitor_de_pressao_invasivo;_monitor_de_pressao_nao_invasivo;_reanimador_pulmonar_ambu;_respirador_ventilador;_aparelho_de_diatermia_por_ultrassom_ondas_curtas;_aparelho_de_eletroestimulacao;_bomba_de_infusao_de_hemoderivados;_equipamentos_de_aferese;_equipamento_de_circulacao_extracorporea;_equipamento_para_hemodialise;_forno_de_bier;total
"230945 Ocara";-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;1;-;1;-;-;-;1;-;3;2;-;1;1;-;-;-;-;1;19
"230950 Orós";-;-;-;-;1;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"230960 Pacajus";-;1;-;1;2;-;10;-;-;-;1;-;2;3;3;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;7;2;-;-;1;-;-;2;1;1;-;3;-;1;5;1;1;4;-;-;-;-;2;57
"230970 Pacatuba";-;-;-;-;1;-;3;-;-;-;-;-;-;-;3;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;1;-;1;-;-;1;-;5;4;-;-;-;-;3;27
"230980 Pacoti";-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;14;4;1;1;4;1;-;1;30
"230990 Pacujá";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;5
"231000 Palhano";-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"231010 Palmácia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;1;-;-;2;-;1;1;-;-;-;-;1;11
"231020 Paracuru";-;-;-;1;1;-;3;-;-;-;-;-;-;1;2;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;2;-;-;1;1;-;-;1;-;1;16;-;4;1;-;-;-;-;4;44
"231025 Paraipaba";-;-;-;2;1;-;1;-;1;-;2;-;-;-;4;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;1;-;-;1;1;-;1;1;-;1;-;-;-;-;-;1;24
"231030 Parambu";-;-;-;1;2;-;-;-;1;-;-;-;-;2;2;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;3;-;-;1;-;1;-;-;-;1;-;-;-;3;-;-;-;-;6;28
"231040 Paramoti";-;-;-;-;-;1;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;8
"231050 Pedra Branca";-;-;-;-;1;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;4;2;-;-;2;2;1;-;4;-;34;6;2;-;3;-;-;2;-;2;69
"231060 Penaforte";-;-;-;3;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;8
"231070 Pentecoste";-;-;-;-;1;1;6;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;4;-;-;-;2;-;-;-;1;-;-;8;2;-;-;-;-;-;-;1;34
"231080 Pereiro";-;-;-;-;1;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;1;1;-;1;-;-;1;-;-;-;-;-;-;-;-;11
"231085 Pindoretama";-;-;-;-;1;-;1;-;-;-;-;-;-;-;3;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;1;-;-;-;-;1;11
"231090 Piquet Carneiro";-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;1;2;1;-;-;-;-;-;-;-;11
"231095 Pires Ferreira";-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;6
"231100 Poranga";-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"231110 Porteiras";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;1;-;-;-;2;4;-;-;-;-;2;-;-;-;13
"231120 Potengi";-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;5
"231123 Potiretama";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"231126 Quiterianópolis";-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;7
"231130 Quixadá";-;2;-;2;2;2;32;-;1;-;1;-;4;6;5;2;-;-;1;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;3;-;15;5;-;1;10;10;9;1;13;5;11;7;14;14;9;1;-;-;27;11;239
"231135 Quixelô";-;-;-;1;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;1;-;1;-;1;-;1;1;1;-;-;-;-;2;15
"231140 Quixeramobim";1;1;-;-;4;-;7;-;1;-;-;-;2;3;7;1;-;-;1;1;3;-;3;1;1;1;1;1;1;1;1;1;1;1;1;5;1;-;4;1;-;-;3;1;1;-;2;-;2;3;2;4;7;-;-;-;-;5;88
"231150 Quixeré";-;-;-;1;-;-;5;-;-;-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;8;-;-;-;-;5;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;24
"231160 Redenção";-;-;-;-;1;-;2;-;-;-;-;-;1;2;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;2;-;-;2;-;3;-;1;-;-;2;-;8;4;-;2;-;-;5;39
"231170 Reriutaba";-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;9;-;2;1;-;-;-;-;1;17
"231180 Russas";-;1;-;-;5;3;7;-;2;-;2;-;5;2;5;1;2;-;-;-;8;-;-;-;1;1;2;1;1;-;-;1;-;1;-;5;-;-;-;3;1;-;5;3;5;-;4;-;5;7;1;5;9;7;1;-;28;5;145
"231190 Saboeiro";-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;5
"231195 Salitre";-;-;-;-;1;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;1;1;1;-;1;-;1;1;1;-;-;-;-;-;-;1;15
"231220 Santa Quitéria";-;-;-;1;-;-;1;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;2;-;-;-;1;2;-;-;-;1;3;-;-;-;-;4;20
"231200 Santana do Acaraú";-;-;-;-;1;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;1;-;1;-;1;-;1;-;-;2;-;-;-;-;-;-;-;-;15
"231210 Santana do Cariri";-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;1;-;-;-;1;-;-;1;1;1;1;-;-;-;-;-;12
"231230 São Benedito";-;-;-;2;2;-;8;-;-;-;-;-;1;1;4;-;-;-;-;-;-;5;-;3;5;5;5;5;5;4;4;4;4;4;3;2;-;-;2;1;-;-;3;-;-;-;3;2;5;5;2;3;2;-;-;-;-;1;105
"231240 São Gonçalo do Amarante";-;1;-;-;4;2;7;-;-;-;-;-;-;4;2;1;-;-;-;-;1;1;1;-;1;1;1;-;-;-;1;1;1;1;1;12;3;-;7;2;-;-;6;2;1;-;2;-;5;13;5;4;1;-;-;-;-;2;97
"231250 São João do Jaguaribe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;-;6
"231260 São Luís do Curu";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;-;1;8
"231270 Senador Pompeu";-;-;-;1;1;-;4;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;14
"231280 Senador Sá";-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;4
"231290 Sobral";1;4;1;3;14;3;63;2;4;2;4;3;13;12;25;3;3;-;4;1;15;5;4;11;9;9;15;11;9;10;21;3;9;17;5;41;7;-;147;23;4;-;41;28;35;9;81;81;151;181;55;24;24;4;-;2;58;15;1329
"231300 Solonópole";-;-;-;-;1;-;2;-;-;-;-;-;-;-;3;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;4;1;-;-;3;-;-;-;1;-;-;13;2;1;1;-;-;-;-;1;37
"231310 Tabuleiro do Norte";-;-;-;-;2;-;5;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3;-;-;-;2;-;-;2;-;2;-;1;-;5;3;-;2;2;-;-;-;-;1;34
"231320 Tamboril";-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;8
"231325 Tarrafas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;6
"231330 Tauá";1;1;-;1;6;1;7;-;-;-;1;-;4;7;3;1;3;-;-;1;-;2;1;1;-;-;-;-;-;-;-;-;-;-;-;3;-;-;10;2;-;-;5;4;4;3;1;-;13;11;1;-;-;-;-;-;-;-;98
"231335 Tejuçuoca";-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2;1;-;-;2;-;1;-;1;-;-;-;2;-;-;-;-;-;-;1;14
"231340 Tianguá";-;1;-;3;-;4;18;-;-;1;1;1;5;1;5;1;-;-;-;1;4;1;1;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;9;12;1;-;5;4;7;-;22;20;20;20;5;3;3;-;-;-;-;6;190
"231350 Trairi";-;-;-;1;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;7
"231355 Tururu";-;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"231360 Ubajara";-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;4;3;-;-;-;-;2;32
"231370 Umari";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"231375 Umirim";-;-;-;-;1;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;1;9
"231380 Uruburetama";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;1;-;-;-;-;2;7
"231390 Uruoca";-;-;-;-;-;-;6;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;2;-;-;-;-;-;-;2;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;23
"231395 Varjota";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
